instance_number,run_number,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
65,2,5500,2474,2424.5,2335.4,2236.4,1836.62,2.4498239195898636e-24,98.0
68,4,5500,2793,2628.0,2452.0,2347.5,1967.5,1.1909393112511465e-71,126.0
66,0,5500,4025,3838.0,3567.4,3286.9,2420.26,1.2093567230818669e-70,86.0
66,1,5500,2760,2644.5,2555.4,2355.2,1769.74,3.738413785128628e-72,48.0
66,3,5500,2661,2556.5,2397.0,2292.5,1838.2,4.161125181618584e-65,137.0
66,2,5500,3332,3304.5,3219.8,3075.7,2358.22,9.606883811906748e-86,32.0
67,0,5500,2661,2633.5,2546.6,2371.7,1962.3,7.631513155341289e-101,132.0
69,4,5500,2155,2138.5,2104.4,2042.8,1684.2,4.35717659363898e-62,96.0
67,1,5500,3926,3788.5,2711.6,2305.7,1704.66,3.806638958135925e-71,125.0
67,2,5500,5477,5257.0,4812.6,3930.2,2345.44,1.266715062579105e-67,19.0
67,3,5500,3849,3711.5,3498.8,3099.5,1989.56,6.409524003839111e-113,92.0
68,0,5500,3079,2930.5,2685.2,2432.2,1838.58,1.9101377670998032e-58,13.0
70,4,5500,2925,2831.5,2544.4,2347.5,1759.86,8.692021926532658e-17,35.0
68,1,5500,3266,3222.0,3160.4,3010.6,2324.22,1.5225345272919458e-55,115.0
68,2,5500,4366,4206.5,3934.8,3289.1,2253.16,2.234323825912722e-30,79.0
68,3,5500,4630,4091.0,3677.4,3331.9,2417.9,2.205367698660999e-107,103.0
71,4,5500,3398,3392.5,3156.0,2779.7,1951.28,1.2663367085676603e-67,117.0
69,0,5500,4289,4041.5,2986.6,2466.3,1746.22,1.005951214060282e-82,114.0
69,1,5500,2903,2831.5,2685.2,2513.6,1853.42,2.2043653411251814e-37,125.0
69,2,5500,4289,4267.0,4029.4,3808.3,2858.24,0.3486784401000001,28.0
69,3,5500,3222,2765.5,2399.2,2159.3,1665.92,1.3910779672321263e-67,102.0
70,0,5500,4905,4784.0,3868.8,3152.7,1989.08,1.037305068482782e-80,59.0
72,4,5500,4311,3832.5,3237.4,2771.0,2059.92,3.4085406739242203e-78,33.0
70,1,5500,4421,3530.0,2909.6,2548.8,1939.84,9.6068925737158e-86,85.0
70,2,5500,5004,4657.5,3618.0,2986.6,2048.9,4.704808346053436e-57,55.0
70,3,5500,3112,2804.0,2460.8,2302.4,1849.38,5.569828659391124e-46,140.0
73,4,5500,3497,2914.0,2507.0,2312.3,1730.84,3.270508732711262e-87,161.0
71,0,5500,5114,4250.5,3228.6,2762.2,1992.98,1.5698418150719978e-53,53.0
71,1,5500,5389,5372.5,3653.2,2940.4,1939.86,1.5032456636030514e-58,63.0
71,2,5500,2947,2826.0,2590.6,2472.7,1988.42,5.1584339467948253e-51,76.0
71,3,5500,3431,3348.5,2724.8,2430.0,1880.16,7.288349957101014e-104,54.0
74,4,5500,2749,2446.5,2240.8,2122.0,1642.6,1.1373529384410647e-74,154.0
72,0,5500,4344,4157.0,3296.8,2727.0,1962.74,3.1571715222083408e-83,42.0
