instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv
34,1,0.8,0.996671215697846,0.003328784302154028,5500,5444
34,2,0.5,0.7847793276926595,0.2152206723073405,5500,4905
35,3,0.2,0.14870919457946827,0.8512908054205317,5500,5213
35,1,0.8,1.0,0.0,5500,3090
37,4,0.0,0.0,1.0,5500,4659
35,2,0.5,0.678430529968137,0.321569470031863,5500,4531
36,0,1.0,1.0,0.0,5500,4949
38,4,0.0,0.0,1.0,5500,5474
36,3,0.2,0.16528187739370137,0.8347181226062986,5500,5312
36,2,0.5,0.738452259441403,0.26154774055859703,5500,4355
36,1,0.8,0.9931172849380053,0.006882715061994707,5500,4476
37,0,1.0,1.0,0.0,5500,3717
39,4,0.0,0.0,1.0,5500,5493
37,3,0.2,0.15073011562275163,0.8492698843772484,5500,5047
37,1,0.8,1.0,0.0,5500,5334
37,2,0.5,0.7195214731193083,0.28047852688069175,5500,5158
38,0,1.0,1.0,0.0,5500,3200
40,4,0.0,0.0,1.0,5500,5241
38,1,0.8,1.0,0.0,5500,4443
38,2,0.5,0.6720910608645156,0.32790893913548436,5500,3926
38,3,0.2,0.19942550340745882,0.8005744965925412,5500,5444
41,4,0.0,0.0,1.0,5500,5004
39,0,1.0,1.0,0.0,5500,4047
39,1,0.8,1.0,0.0,5500,3046
39,3,0.2,0.16819555801748715,0.8318044419825129,5500,5486
39,2,0.5,0.7319186953524652,0.2680813046475347,5500,5345
42,4,0.0,0.0,1.0,5500,5276
40,0,1.0,1.0,0.0,5500,3178
40,3,0.2,0.13466445303126026,0.8653355469687397,5500,5400
40,1,0.8,1.0,0.0,5500,5114
40,2,0.5,0.7689929348794089,0.23100706512059116,5500,3409
41,0,1.0,1.0,0.0,5500,3816
43,4,0.0,0.0,1.0,5500,5165
41,1,0.8,1.0,0.0,5500,3992
42,3,0.2,0.104364627422983,0.895635372577017,5500,5069
41,3,0.2,0.17921608196969033,0.8207839180303097,5500,5296
41,2,0.5,0.6670663325099616,0.3329336674900384,5500,3255
44,4,0.0,0.0,1.0,5500,5422
42,0,1.0,1.0,0.0,5500,4762
42,1,0.8,1.0,0.0,5500,5169
42,2,0.5,0.6790613518453557,0.3209386481546443,5500,5389
45,4,0.0,0.0,1.0,5500,5354
43,0,1.0,1.0,0.0,5500,4113
43,1,0.8,1.0,0.0,5500,3860
43,3,0.2,0.14475457263326685,0.8552454273667331,5500,5466
43,2,0.5,0.7372928366762178,0.26270716332378224,5500,5444
46,4,0.0,0.0,1.0,5500,5312
44,0,1.0,1.0,0.0,5500,4102
44,3,0.2,0.13871779932581463,0.8612822006741854,5500,5487
44,1,0.8,1.0,0.0,5500,5169
44,2,0.5,0.6492282777838092,0.3507717222161908,5500,5004
45,3,0.2,0.14118231392473174,0.8588176860752683,5500,5470
47,4,0.0,0.0,1.0,5500,5043
45,0,1.0,1.0,0.0,5500,4751
45,1,0.8,1.0,0.0,5500,4927
45,2,0.5,0.6829212496110979,0.3170787503889021,5500,3431
48,4,0.0,0.0,1.0,5500,5465
46,0,1.0,1.0,0.0,5500,4663
46,1,0.8,1.0,0.0,5500,4806
